,Title,Chapter,Verse,English Translation,a1,a2,a3,a4,a5
0,Arjuna's Vishada Yoga,1,1,"Dhrtarashtra asked of Sanjaya: O SANJAYA, what did my warrior sons and those of Pandu do when they were gathered at KURUKSHETRA, the field of religious activities? Tell me of those happenings.",1082.7546,896.8497,642.48157,0.0,0.0
1,Arjuna's Vishada Yoga,1,2,"Sanjaya explained: Now seeing that the army of the PANDAVAS was set up properly, the Price DURYODHANA called his teacher, DRONA, to his side and spoke these words:",0.0,723.4496,1098.4514,427.87354,0.0
2,Arjuna's Vishada Yoga,1,3,"Behold O, Master, the mighty army of the sons of PANDU, led by the son of DRUPADA, your talented disciple.",0.0,1376.2642,1331.5199,2368.946,0.0
3,Arjuna's Vishada Yoga,1,4,"Present here are the mighty archers, peers or friends, in warfare, of ARJUNA and BHIMA. Their names are: YUYUDHANA, VIRATA and DRUPADA, the great chariot-warrior. Other great warriors were also present on the battlefield: DHRSHTAKEUT, CHEKITANA and the brave and noble King of Kasi, KUNTIBHIJA and SAIBYA; these are among the great warriors. Other courageous and great chariot-warriors were: YUDHAMANYU, the brave UTTAMAUJA, SAUBHADRA, and the sons of DRAUPADI.",0.0,1003.8213,1086.9197,1332.7408,0.0
4,Arjuna's Vishada Yoga,1,5,"Dhrishtaketu, Chekitana, and the valiant king of Kashi, Purujit and Kuntibhoja and Saibya, the best of men.",0.0,1400.7246,1457.763,1932.724,0.0
5,Arjuna's Vishada Yoga,1,6,"The strong Yudhamanyu and the brave Uttamaujas, the son of Subhadra and the sons of Draupadi, all of them, divisional commanders.",0.0,1511.7137,1545.8774,2135.6519,0.0
6,Arjuna's Vishada Yoga,1,7,"Duryodhana spoke unto his master Drona: O Best of the twice born, I name all of those who are our distinguished Chiefs, the leaders of my army, of your information only.",17.04585,682.71,1086.4059,251.95125,0.0
7,Arjuna's Vishada Yoga,1,8,"Your wise self, BHISMA, KARNA, KRIPA, the victorious in fight; ASVATTHAMA, VIKARNA and SAUMADATTI as well.",0.0,1004.7659,1079.1686,1372.5815,0.0
8,Arjuna's Vishada Yoga,1,9,"Duryodhana further said to Drona: Yet several other heroes and great men, well-trained in combat, armed with assorted powerful weapons and missiles, are ready to lay down their lives for me!",1180.3224,965.9113,770.66846,0.0,0.0
9,Arjuna's Vishada Yoga,1,10,"Duryodhana explained with pride to Drona: Our army, led by BHISMA, is numerous and skilled. The army led by BHIMA, however, is weak and lacking in strength and power.",0.0,1244.7853,1242.8207,1878.4395,0.0
10,Arjuna's Vishada Yoga,1,11,"Duryodhana instructed his army: Now all of you quickly assume your proper positions for battle, your main goal being to protect and fight alongside BHISMA, your leader, by all means.",1255.3445,1037.4512,786.931,0.0,0.0
